dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,icq,nof,nom,wmc,gc,rb
1,0,0,0.0,0.0,24,0,0,0,0,4,4,0,0
1,0,0,0.0,0.0,61,0,0,0,0,3,16,0,0
1,0,0,-1.0,0.0,2,0,0,0,0,0,0,0,0
1,0,0,-1.0,0.0,2,0,0,0,0,0,0,0,0
1,0,1,-1.0,0.0,2,0,0,0,0,0,0,0,0
1,1,1,,0.0,9,0,1,0,0,2,3,0,0
1,0,0,,0.6666667,7,0,0,0,3,1,1,0,0
1,0,0,0.0,0.88,48,0,0,1,10,5,5,0,0
1,0,0,-1.0,,17,0,0,1,4,0,0,0,0
1,0,0,-1.0,0.0,12,0,0,1,0,0,0,0,0
1,0,0,-1.0,0.0,2,0,0,0,0,0,0,0,0
1,0,0,,0.0,10,0,0,0,0,1,1,0,0
2,0,4,0.0,0.0,55,0,6,0,0,7,9,0,0
1,0,0,-1.0,0.0,2,0,0,0,0,0,0,0,0
1,0,0,,0.0,10,0,0,0,0,1,1,0,0
1,0,0,,0.0,10,0,0,0,0,1,1,0,0
2,0,4,,0.0,7,0,3,0,0,1,1,0,0
2,0,5,0.0,0.0,21,0,4,0,1,4,4,0,0
3,0,0,-1.0,0.0,2,0,0,0,0,0,0,0,0
3,2,7,0.0,0.0,51,0,19,0,0,7,17,0,0
1,0,0,0.0,0.0,63,0,1,0,0,2,12,0,0
1,0,0,-1.0,0.0,1,0,0,0,0,0,0,0,0
1,0,0,0.0,0.0,8,0,0,0,0,2,2,0,0
5,1,9,0.0,0.0,27,0,18,0,0,3,7,0,0
1,0,0,,0.0,34,0,1,0,0,2,14,0,0
2,2,8,0.0,0.7083334,58,0,14,0,2,12,15,0,0
1,0,0,-1.0,,3,0,0,0,1,0,0,0,0
1,0,0,-1.0,,21,0,0,0,19,0,0,0,0
1,2,3,0.0,0.11111111,27,0,13,0,3,3,4,0,0
1,0,2,0.0,0.0,15,0,5,0,0,2,2,0,0
3,0,3,,0.0,7,0,3,0,0,1,1,0,0
6,3,2,0.0,0.0,18,4,0,2,0,2,2,0,0
5,2,10,0.0,0.6666667,60,0,26,0,2,6,18,0,0
2,3,2,0.0,0.6666667,66,0,13,0,3,10,10,0,0
2,0,4,0.0,0.0,35,0,6,0,0,5,6,0,0
1,1,1,0.0,0.0,6,1,0,0,0,2,2,0,0
1,0,1,0.0,1.0,21,0,0,1,2,2,2,0,0
1,0,0,,0.0,5,0,0,0,0,1,1,0,0
1,0,0,0.0,0.0,8,0,0,0,0,2,2,0,0
2,17,6,0.0,0.95238096,116,16,35,0,1,21,46,0,0
5,0,8,0.0,0.0,23,0,15,0,0,2,7,0,0
2,0,1,-1.0,0.0,2,0,0,0,0,0,0,0,0
1,0,0,0.0,0.0,11,0,0,0,0,4,4,0,0
2,0,1,-1.0,0.0,2,0,0,0,0,0,0,0,0
4,2,5,0.0,0.5,33,0,15,0,1,4,11,0,0
1,0,0,-1.0,0.0,2,0,0,0,0,0,0,0,0
1,0,0,-1.0,0.0,2,0,0,0,0,0,0,0,0
1,1,0,-1.0,0.0,7,0,0,1,0,0,0,0,0
1,0,0,,0.0,3,0,0,0,0,1,1,0,0
1,0,0,,0.0,6,0,0,0,1,1,1,0,0
2,0,1,-1.0,0.0,2,0,0,0,0,0,0,0,0
